id_transacao,data,area,canal,regiao,cliente,responsavel,receita_bruta,desconto,custo
TX-1053,2025-07-20,Marketing,Parceiros,Nordeste,Beta Logistica,Bruno,13774.57,706.71,9758.8
TX-1007,2025-07-21,Tecnologia,Digital,Sudeste,Gama Servicos,Ana,20081.02,1160.17,11625.16
TX-1037,2025-07-21,Operacoes,Digital,Centro-Oeste,Gama Servicos,Diego,8465.3,399.17,5779.87
TX-1036,2025-07-22,Marketing,Direto,Nordeste,Alfa Industria,Bruno,12557.94,536.43,8953.23
TX-1002,2025-07-23,Operacoes,Direto,Centro-Oeste,Gama Servicos,Bruno,18401.54,476.72,12202.88
TX-1021,2025-07-24,Tecnologia,Digital,Sul,Delta Varejo,Felipe,20441.35,322.79,11469.22
TX-1004,2025-07-24,Tecnologia,Digital,Sul,Horizonte Tech,Carla,20638.69,429.29,12312.16
TX-1049,2025-07-24,Marketing,Digital,Centro-Oeste,Delta Varejo,Diego,20232.78,667.38,14067.97
TX-1026,2025-07-25,Marketing,Digital,Sudeste,Beta Logistica,Diego,15112.81,696.01,10538.96
TX-1034,2025-07-25,Tecnologia,Digital,Sul,Alfa Industria,Diego,21294.84,1637.44,12263.52
TX-1031,2025-07-25,Tecnologia,Direto,Sudeste,Alfa Industria,Elisa,18628.92,204.46,10774.86
TX-1046,2025-07-25,Operacoes,Digital,Centro-Oeste,Delta Varejo,Elisa,16231.74,771.41,10608.66
TX-1062,2025-08-02,Marketing,Direto,Nordeste,Horizonte Tech,Ana,14102.24,421.28,9829.98
TX-1065,2025-08-02,Operacoes,Direto,Sudeste,Foco Energia,Elisa,11997.66,320.32,8738.63
TX-1060,2025-08-03,Comercial,Parceiros,Nordeste,Gama Servicos,Carla,27474.17,1594.24,14422.96
TX-1067,2025-08-04,Tecnologia,Parceiros,Sudeste,Gama Servicos,Elisa,24740.13,1338.46,14998.95
TX-1103,2025-08-04,Tecnologia,Direto,Sul,Crescer Educacao,Ana,13019.95,487.8,7892.27
TX-1095,2025-08-04,Comercial,Digital,Sul,Crescer Educacao,Felipe,19768.29,875.32,10196.25
TX-1057,2025-08-07,Tecnologia,Direto,Centro-Oeste,Evo Saude,Carla,19035.89,400.38,11375.4
TX-1104,2025-08-08,Tecnologia,Parceiros,Centro-Oeste,Foco Energia,Felipe,15402.29,371.79,9198.89
TX-1101,2025-08-08,Tecnologia,Digital,Sudeste,Foco Energia,Ana,18416.66,538.46,11169.37
TX-1091,2025-08-08,Tecnologia,Parceiros,Nordeste,Foco Energia,Felipe,19338.18,569.73,12058.59
TX-1088,2025-08-08,Operacoes,Parceiros,Sudeste,Gama Servicos,Carla,24657.53,1117.86,16423.09
TX-1073,2025-08-08,Tecnologia,Direto,Sul,Gama Servicos,Bruno,20862.17,1135.4,12075.79
TX-1061,2025-08-08,Tecnologia,Digital,Centro-Oeste,Evo Saude,Ana,16578.78,516.18,9748.32
TX-1089,2025-08-09,Tecnologia,Digital,Centro-Oeste,Foco Energia,Diego,17644.17,306.1,10780.24
TX-1079,2025-08-09,Comercial,Parceiros,Centro-Oeste,Foco Energia,Felipe,24933.08,1545.56,13293.24
TX-1105,2025-08-09,Tecnologia,Digital,Sul,Crescer Educacao,Felipe,13167.04,824.75,7930.67
TX-1098,2025-08-10,Operacoes,Direto,Centro-Oeste,Beta Logistica,Ana,13859.17,855.95,8740.17
TX-1058,2025-08-10,Tecnologia,Digital,Nordeste,Delta Varejo,Ana,25226.03,1228.75,15371.61
TX-1059,2025-08-10,Marketing,Direto,Centro-Oeste,Horizonte Tech,Diego,17151.52,1313.53,11342.33
TX-1066,2025-08-12,Marketing,Direto,Sul,Beta Logistica,Ana,14647.3,862.26,9605.52
TX-1074,2025-08-12,Tecnologia,Parceiros,Sudeste,Beta Logistica,Ana,15350.44,192.25,9509.18
TX-1092,2025-08-13,Operacoes,Digital,Sul,Horizonte Tech,Diego,21666.46,1371.49,13819.12
TX-1080,2025-08-13,Tecnologia,Parceiros,Nordeste,Horizonte Tech,Ana,22998.2,1197.26,14335.48
TX-1055,2025-08-13,Tecnologia,Digital,Sudeste,Delta Varejo,Diego,17350.31,318.92,11232.88
TX-1086,2025-08-14,Comercial,Parceiros,Sul,Foco Energia,Elisa,14969.42,1033.66,7717.74
TX-1096,2025-08-14,Tecnologia,Digital,Sul,Horizonte Tech,Carla,17401.85,277.34,10885.87
TX-1100,2025-08-14,Marketing,Parceiros,Centro-Oeste,Gama Servicos,Felipe,19073.74,508.05,14672.83
TX-1075,2025-08-15,Tecnologia,Parceiros,Sul,Beta Logistica,Elisa,18049.6,999.16,10492.28
TX-1069,2025-08-16,Comercial,Parceiros,Sudeste,Gama Servicos,Bruno,20879.87,1245.91,10539.36
TX-1090,2025-08-16,Comercial,Digital,Nordeste,Delta Varejo,Carla,24798.7,580.59,13658.8
TX-1102,2025-08-16,Tecnologia,Direto,Centro-Oeste,Delta Varejo,Diego,13917.76,925.81,7388.3
TX-1099,2025-08-16,Marketing,Parceiros,Sudeste,Gama Servicos,Carla,14017.71,645.15,9969.13
TX-1107,2025-08-17,Comercial,Parceiros,Centro-Oeste,Alfa Industria,Bruno,16374.05,533.38,8732.43
TX-1063,2025-08-17,Operacoes,Direto,Sudeste,Delta Varejo,Ana,19812.76,1442.22,12432.23
TX-1082,2025-08-18,Comercial,Direto,Sul,Gama Servicos,Felipe,24383.06,1140.06,12627.73
TX-1054,2025-08-19,Tecnologia,Digital,Centro-Oeste,Gama Servicos,Diego,21909.79,933.77,12845.52
TX-1068,2025-08-19,Comercial,Parceiros,Nordeste,Alfa Industria,Ana,20017.54,1194.91,9730.94
TX-1056,2025-08-19,Tecnologia,Digital,Centro-Oeste,Gama Servicos,Diego,17426.91,993.09,9749.99
TX-1093,2025-08-20,Marketing,Parceiros,Nordeste,Horizonte Tech,Diego,16610.41,1017.7,11841.34
TX-1087,2025-08-20,Comercial,Digital,Centro-Oeste,Crescer Educacao,Carla,17545.56,838.1,9079.39
TX-1097,2025-08-21,Comercial,Digital,Nordeste,Gama Servicos,Elisa,14972.73,200.77,8654.27
TX-1078,2025-08-21,Tecnologia,Direto,Sudeste,Crescer Educacao,Diego,21923.95,329.83,12802.46
TX-1070,2025-08-22,Marketing,Parceiros,Sul,Beta Logistica,Bruno,11409.42,740.31,7838.93
TX-1077,2025-08-23,Marketing,Direto,Sul,Evo Saude,Felipe,13679.92,635.01,9776.99
TX-1085,2025-08-23,Comercial,Digital,Nordeste,Foco Energia,Carla,15428.12,469.7,8578.19
TX-1084,2025-08-23,Comercial,Direto,Sul,Beta Logistica,Bruno,21877.65,883.08,10935.69
TX-1064,2025-08-23,Operacoes,Direto,Sudeste,Alfa Industria,Ana,20042.26,1478.01,12567.46
TX-1071,2025-08-24,Comercial,Parceiros,Centro-Oeste,Beta Logistica,Ana,15765.94,929.94,8431.11
TX-1106,2025-08-25,Comercial,Digital,Sudeste,Evo Saude,Diego,15238.5,1122.08,8089.67
TX-1083,2025-08-25,Tecnologia,Parceiros,Sul,Gama Servicos,Carla,16223.26,1286.87,9332.01
TX-1081,2025-08-25,Operacoes,Digital,Sul,Horizonte Tech,Diego,14797.88,860.3,10160.83
TX-1076,2025-08-25,Tecnologia,Parceiros,Centro-Oeste,Foco Energia,Diego,15257.13,821.15,8012.81
TX-1094,2025-08-25,Marketing,Digital,Nordeste,Crescer Educacao,Ana,9250.68,279.15,6140.72
TX-1072,2025-08-25,Tecnologia,Direto,Centro-Oeste,Crescer Educacao,Ana,20921.85,903.65,11371.85
TX-1136,2025-09-01,Comercial,Digital,Nordeste,Beta Logistica,Bruno,23035.02,1334.17,13203.32
TX-1149,2025-09-01,Comercial,Direto,Sul,Horizonte Tech,Carla,22560.12,733.37,11955.18
TX-1153,2025-09-01,Marketing,Digital,Sudeste,Delta Varejo,Ana,13169.24,188.91,9175.68
TX-1146,2025-09-01,Comercial,Digital,Sul,Evo Saude,Bruno,20547.96,1557.56,10578.02
TX-1126,2025-09-02,Comercial,Parceiros,Sudeste,Beta Logistica,Felipe,23242.81,1593.0,12190.3
TX-1111,2025-09-03,Comercial,Direto,Nordeste,Gama Servicos,Bruno,12938.65,188.74,7431.65
TX-1138,2025-09-03,Tecnologia,Digital,Sudeste,Foco Energia,Elisa,19765.97,260.16,12585.1
TX-1137,2025-09-03,Operacoes,Digital,Sudeste,Delta Varejo,Diego,17542.63,516.95,11394.0
TX-1117,2025-09-04,Marketing,Direto,Sudeste,Foco Energia,Diego,14742.25,341.76,10221.82
TX-1110,2025-09-04,Operacoes,Direto,Centro-Oeste,Horizonte Tech,Elisa,15609.36,716.33,10367.69
TX-1120,2025-09-04,Operacoes,Direto,Nordeste,Gama Servicos,Ana,24007.14,847.63,16513.22
TX-1151,2025-09-04,Marketing,Direto,Centro-Oeste,Foco Energia,Diego,9724.17,131.35,6674.07
TX-1116,2025-09-05,Marketing,Direto,Nordeste,Alfa Industria,Bruno,9808.79,414.46,6752.69
TX-1160,2025-09-05,Operacoes,Digital,Centro-Oeste,Gama Servicos,Elisa,18663.1,613.24,11803.57
TX-1131,2025-09-06,Tecnologia,Parceiros,Nordeste,Alfa Industria,Elisa,12867.99,919.88,7398.59
TX-1145,2025-09-07,Operacoes,Parceiros,Nordeste,Foco Energia,Bruno,21622.03,1539.93,14340.08
TX-1161,2025-09-07,Operacoes,Direto,Sul,Crescer Educacao,Elisa,17421.76,509.77,11811.69
TX-1115,2025-09-07,Tecnologia,Parceiros,Sudeste,Foco Energia,Bruno,11276.2,491.53,6935.32
TX-1122,2025-09-08,Comercial,Digital,Centro-Oeste,Crescer Educacao,Ana,19642.47,1193.53,9555.71
TX-1113,2025-09-08,Tecnologia,Parceiros,Centro-Oeste,Beta Logistica,Ana,22403.44,226.64,13360.6
TX-1134,2025-09-09,Operacoes,Parceiros,Nordeste,Evo Saude,Carla,16868.97,634.68,11053.33
TX-1158,2025-09-09,Tecnologia,Parceiros,Sudeste,Foco Energia,Carla,22856.93,1042.86,13453.41
TX-1159,2025-09-09,Tecnologia,Direto,Nordeste,Beta Logistica,Diego,22351.86,420.36,13411.0
TX-1143,2025-09-11,Operacoes,Parceiros,Sudeste,Beta Logistica,Felipe,16663.22,407.86,11469.05
TX-1140,2025-09-11,Marketing,Direto,Centro-Oeste,Crescer Educacao,Bruno,9919.2,760.9,6935.88
TX-1135,2025-09-11,Operacoes,Parceiros,Sul,Crescer Educacao,Carla,15848.54,677.28,10123.55
TX-1154,2025-09-11,Operacoes,Digital,Nordeste,Delta Varejo,Bruno,18071.36,1346.85,11957.9
TX-1118,2025-09-13,Comercial,Direto,Sul,Gama Servicos,Diego,26269.36,1347.98,15114.71
TX-1139,2025-09-13,Comercial,Direto,Centro-Oeste,Gama Servicos,Felipe,21709.19,665.04,11839.13
TX-1147,2025-09-13,Tecnologia,Parceiros,Sudeste,Beta Logistica,Felipe,21515.41,869.64,12761.3
TX-1152,2025-09-14,Operacoes,Parceiros,Sul,Foco Energia,Elisa,18774.04,466.29,12572.38
TX-1141,2025-09-14,Comercial,Parceiros,Sudeste,Alfa Industria,Bruno,15280.83,812.53,8303.98
TX-1114,2025-09-14,Tecnologia,Digital,Sul,Gama Servicos,Diego,15322.61,510.5,8929.57
TX-1157,2025-09-14,Operacoes,Digital,Nordeste,Delta Varejo,Carla,20531.61,1567.13,12234.76
TX-1124,2025-09-15,Marketing,Parceiros,Sul,Beta Logistica,Diego,13946.85,155.66,9447.81
TX-1121,2025-09-16,Comercial,Digital,Sudeste,Foco Energia,Carla,24170.41,779.12,12726.67
TX-1119,2025-09-16,Comercial,Direto,Centro-Oeste,Evo Saude,Carla,20343.48,1421.69,10590.79
TX-1144,2025-09-17,Comercial,Parceiros,Sudeste,Delta Varejo,Bruno,22021.69,1525.08,11863.31
TX-1109,2025-09-17,Operacoes,Direto,Nordeste,Crescer Educacao,Ana,15320.29,997.83,10054.05
TX-1155,2025-09-17,Tecnologia,Parceiros,Sudeste,Alfa Industria,Elisa,21629.49,1654.75,13148.73
TX-1156,2025-09-19,Operacoes,Digital,Sul,Horizonte Tech,Carla,19625.03,813.93,12823.98
TX-1142,2025-09-19,Comercial,Direto,Centro-Oeste,Crescer Educacao,Felipe,25743.49,1310.24,14209.35
TX-1133,2025-09-20,Comercial,Direto,Centro-Oeste,Horizonte Tech,Carla,27180.44,1686.6,14490.66
TX-1132,2025-09-20,Operacoes,Digital,Nordeste,Gama Servicos,Felipe,18728.05,934.44,12779.27
TX-1129,2025-09-20,Tecnologia,Parceiros,Sul,Beta Logistica,Elisa,18027.96,298.99,10853.92
TX-1150,2025-09-21,Tecnologia,Digital,Sul,Delta Varejo,Felipe,21219.2,1680.61,11926.9
TX-1127,2025-09-22,Comercial,Digital,Nordeste,Evo Saude,Elisa,18544.83,904.02,9726.88
TX-1108,2025-09-22,Tecnologia,Parceiros,Centro-Oeste,Horizonte Tech,Diego,21416.27,1389.22,12007.83
TX-1130,2025-09-23,Comercial,Digital,Centro-Oeste,Horizonte Tech,Bruno,17426.17,391.93,8926.89
TX-1125,2025-09-23,Marketing,Digital,Sudeste,Delta Varejo,Diego,13370.33,715.65,9285.7
TX-1123,2025-09-23,Tecnologia,Direto,Sudeste,Gama Servicos,Diego,19988.8,400.98,12679.92
TX-1112,2025-09-23,Comercial,Digital,Sul,Beta Logistica,Felipe,17838.91,658.53,9170.38
TX-1128,2025-09-24,Tecnologia,Parceiros,Centro-Oeste,Alfa Industria,Ana,19440.53,1532.68,11245.73
TX-1148,2025-09-24,Tecnologia,Direto,Sudeste,Crescer Educacao,Felipe,26203.1,562.07,15519.52
TX-1203,2025-10-01,Operacoes,Digital,Nordeste,Alfa Industria,Bruno,12482.44,892.66,7416.44
TX-1178,2025-10-01,Comercial,Direto,Sudeste,Gama Servicos,Bruno,21107.41,1427.26,11069.32
TX-1185,2025-10-02,Operacoes,Direto,Centro-Oeste,Alfa Industria,Elisa,10271.85,289.8,7136.63
TX-1200,2025-10-03,Comercial,Digital,Centro-Oeste,Alfa Industria,Diego,18956.98,1420.36,9535.43
TX-1199,2025-10-03,Comercial,Digital,Nordeste,Gama Servicos,Elisa,25931.48,965.6,13484.21
TX-1211,2025-10-03,Operacoes,Direto,Sul,Crescer Educacao,Ana,27823.58,1513.5,18678.76
TX-1207,2025-10-03,Operacoes,Digital,Centro-Oeste,Alfa Industria,Ana,14957.32,447.34,9806.77
TX-1177,2025-10-04,Tecnologia,Direto,Sul,Gama Servicos,Elisa,16532.72,226.44,10108.63
TX-1164,2025-10-05,Tecnologia,Digital,Centro-Oeste,Gama Servicos,Bruno,20284.21,1069.3,12181.18
TX-1192,2025-10-05,Comercial,Digital,Centro-Oeste,Gama Servicos,Ana,15253.65,814.08,8517.67
TX-1182,2025-10-05,Tecnologia,Parceiros,Centro-Oeste,Delta Varejo,Bruno,23947.6,469.49,14885.99
TX-1186,2025-10-05,Tecnologia,Direto,Sul,Evo Saude,Diego,20854.28,603.71,12344.0
TX-1174,2025-10-06,Marketing,Direto,Sul,Foco Energia,Elisa,19106.55,807.91,13077.08
TX-1202,2025-10-06,Tecnologia,Parceiros,Sudeste,Delta Varejo,Carla,19460.99,1207.4,12307.76
TX-1210,2025-10-06,Tecnologia,Digital,Sul,Horizonte Tech,Bruno,16205.39,1236.67,9179.53
TX-1212,2025-10-06,Tecnologia,Digital,Nordeste,Crescer Educacao,Diego,16366.39,1262.0,9241.3
TX-1181,2025-10-06,Operacoes,Direto,Sudeste,Alfa Industria,Elisa,20145.15,322.7,13867.91
TX-1204,2025-10-07,Comercial,Digital,Sudeste,Horizonte Tech,Elisa,20634.62,923.63,10911.2
TX-1163,2025-10-07,Operacoes,Parceiros,Nordeste,Evo Saude,Ana,21495.77,1683.74,13569.87
TX-1180,2025-10-08,Operacoes,Parceiros,Sul,Beta Logistica,Diego,17185.32,1074.4,10424.25
TX-1165,2025-10-09,Tecnologia,Digital,Sudeste,Delta Varejo,Felipe,22944.05,1244.81,13867.07
TX-1194,2025-10-09,Tecnologia,Parceiros,Nordeste,Delta Varejo,Bruno,22441.01,491.99,14224.48
TX-1190,2025-10-09,Comercial,Parceiros,Sudeste,Alfa Industria,Diego,21744.89,1526.92,11662.84
TX-1191,2025-10-09,Comercial,Direto,Centro-Oeste,Foco Energia,Ana,25503.68,621.71,14049.58
TX-1175,2025-10-09,Operacoes,Parceiros,Sul,Beta Logistica,Elisa,12370.66,834.85,7583.77
TX-1169,2025-10-09,Operacoes,Parceiros,Sudeste,Alfa Industria,Carla,23014.23,452.99,15678.31
TX-1184,2025-10-10,Operacoes,Digital,Sul,Alfa Industria,Diego,13779.15,669.17,8240.47
TX-1170,2025-10-11,Marketing,Parceiros,Centro-Oeste,Horizonte Tech,Bruno,10918.16,226.85,7452.11
TX-1188,2025-10-12,Marketing,Direto,Sul,Beta Logistica,Carla,20207.86,875.53,14236.64
TX-1172,2025-10-13,Comercial,Parceiros,Sudeste,Evo Saude,Bruno,16268.22,363.51,9016.66
TX-1167,2025-10-13,Tecnologia,Direto,Sul,Delta Varejo,Diego,25883.16,1427.13,14911.35
TX-1189,2025-10-15,Comercial,Parceiros,Sudeste,Alfa Industria,Carla,18613.17,465.08,10643.07
TX-1176,2025-10-15,Operacoes,Digital,Centro-Oeste,Alfa Industria,Bruno,13144.2,953.11,8380.76
TX-1168,2025-10-15,Tecnologia,Direto,Sul,Alfa Industria,Ana,25814.89,1732.8,14249.23
TX-1209,2025-10-16,Comercial,Parceiros,Sudeste,Evo Saude,Bruno,25810.37,1201.67,14758.39
TX-1197,2025-10-16,Marketing,Direto,Sul,Horizonte Tech,Diego,7517.85,281.2,5564.87
TX-1208,2025-10-16,Tecnologia,Digital,Sudeste,Delta Varejo,Elisa,14646.29,854.01,8813.44
TX-1187,2025-10-17,Comercial,Digital,Nordeste,Gama Servicos,Bruno,22093.57,549.23,12235.14
TX-1196,2025-10-17,Comercial,Parceiros,Sul,Delta Varejo,Elisa,26986.53,1383.15,13260.26
TX-1173,2025-10-18,Operacoes,Direto,Sudeste,Foco Energia,Elisa,15029.74,1201.77,9564.49
TX-1214,2025-10-20,Tecnologia,Parceiros,Centro-Oeste,Alfa Industria,Bruno,18362.5,913.01,10929.47
TX-1162,2025-10-20,Marketing,Digital,Nordeste,Evo Saude,Elisa,15944.45,764.47,11881.35
TX-1179,2025-10-21,Tecnologia,Parceiros,Nordeste,Evo Saude,Bruno,17683.26,291.65,10854.51
TX-1193,2025-10-21,Tecnologia,Direto,Sul,Delta Varejo,Felipe,23263.22,304.57,13933.63
TX-1183,2025-10-22,Marketing,Parceiros,Nordeste,Horizonte Tech,Bruno,5073.79,119.04,3764.01
TX-1205,2025-10-22,Comercial,Parceiros,Centro-Oeste,Evo Saude,Carla,18465.67,1319.75,10495.19
TX-1213,2025-10-23,Comercial,Direto,Centro-Oeste,Horizonte Tech,Ana,24270.64,1665.53,12459.58
TX-1201,2025-10-24,Tecnologia,Parceiros,Sudeste,Horizonte Tech,Elisa,21707.1,1096.83,12766.33
TX-1206,2025-10-24,Tecnologia,Parceiros,Sudeste,Delta Varejo,Ana,10862.81,570.35,6064.09
TX-1198,2025-10-25,Tecnologia,Parceiros,Sudeste,Delta Varejo,Diego,21436.99,1046.3,12962.61
TX-1195,2025-10-25,Tecnologia,Parceiros,Sul,Beta Logistica,Bruno,21532.14,1096.69,12656.4
TX-1171,2025-10-25,Comercial,Parceiros,Centro-Oeste,Beta Logistica,Diego,21559.26,1408.93,11252.99
TX-1166,2025-10-25,Marketing,Digital,Sudeste,Gama Servicos,Ana,10755.72,844.05,7543.22
TX-1215,2025-10-25,Comercial,Direto,Sudeste,Foco Energia,Felipe,20691.19,621.22,11804.65
TX-1260,2025-11-01,Tecnologia,Digital,Centro-Oeste,Horizonte Tech,Ana,16028.23,1052.51,9943.81
TX-1268,2025-11-01,Tecnologia,Digital,Centro-Oeste,Gama Servicos,Ana,20260.43,1110.89,11382.05
TX-1246,2025-11-01,Comercial,Parceiros,Centro-Oeste,Delta Varejo,Elisa,21569.71,1672.0,11062.1
TX-1244,2025-11-01,Comercial,Digital,Nordeste,Beta Logistica,Elisa,21771.46,831.7,12446.55
TX-1238,2025-11-02,Comercial,Digital,Sul,Delta Varejo,Diego,16391.63,434.7,8851.99
TX-1221,2025-11-02,Comercial,Parceiros,Centro-Oeste,Crescer Educacao,Diego,22113.71,523.18,11715.74
TX-1249,2025-11-03,Tecnologia,Direto,Sudeste,Evo Saude,Carla,15824.03,569.79,9098.1
TX-1232,2025-11-03,Operacoes,Digital,Centro-Oeste,Beta Logistica,Bruno,18260.86,531.05,11304.53
TX-1226,2025-11-03,Tecnologia,Parceiros,Nordeste,Delta Varejo,Felipe,21666.39,878.93,14424.22
TX-1254,2025-11-03,Comercial,Direto,Centro-Oeste,Foco Energia,Carla,17229.45,653.75,9597.41
TX-1218,2025-11-03,Tecnologia,Direto,Nordeste,Alfa Industria,Diego,21357.83,754.19,12725.74
TX-1250,2025-11-04,Tecnologia,Digital,Sudeste,Delta Varejo,Diego,16625.62,913.71,10027.96
TX-1242,2025-11-04,Marketing,Parceiros,Nordeste,Crescer Educacao,Elisa,21350.5,1543.49,14043.21
TX-1224,2025-11-05,Tecnologia,Digital,Sudeste,Delta Varejo,Elisa,23467.52,761.55,13974.78
TX-1245,2025-11-05,Operacoes,Direto,Nordeste,Horizonte Tech,Elisa,18431.67,1362.65,11717.91
TX-1236,2025-11-05,Tecnologia,Direto,Sudeste,Delta Varejo,Carla,19831.58,532.53,11326.06
TX-1233,2025-11-05,Comercial,Direto,Nordeste,Gama Servicos,Bruno,26122.59,1875.54,13378.34
TX-1252,2025-11-05,Comercial,Digital,Sudeste,Horizonte Tech,Diego,22795.05,968.06,11945.87
TX-1267,2025-11-06,Comercial,Parceiros,Nordeste,Horizonte Tech,Diego,19695.78,1175.86,10305.68
TX-1225,2025-11-06,Operacoes,Digital,Sudeste,Evo Saude,Carla,21818.65,1648.77,14385.66
TX-1234,2025-11-07,Tecnologia,Direto,Sul,Beta Logistica,Elisa,16766.09,340.68,10110.36
TX-1247,2025-11-07,Operacoes,Digital,Sudeste,Foco Energia,Ana,20283.48,739.99,14195.22
TX-1263,2025-11-08,Operacoes,Digital,Centro-Oeste,Horizonte Tech,Ana,12848.56,673.85,8289.6
TX-1258,2025-11-08,Operacoes,Parceiros,Nordeste,Evo Saude,Diego,17234.48,314.51,12305.94
TX-1269,2025-11-09,Tecnologia,Digital,Centro-Oeste,Gama Servicos,Bruno,21553.46,1682.55,12257.07
TX-1223,2025-11-09,Comercial,Digital,Sul,Crescer Educacao,Elisa,32453.24,1319.19,16679.18
TX-1237,2025-11-10,Comercial,Parceiros,Sudeste,Alfa Industria,Carla,23818.09,761.45,12835.43
TX-1216,2025-11-10,Operacoes,Digital,Nordeste,Beta Logistica,Felipe,13229.68,1036.05,8290.19
